id;Код подразделения;type;Заданий без нарушений срока;более 30 дней средняя просрочка;более 30 дней число просрочек;до 30 дней средняя просрочка;до 30 дней число просрочек;до 7 дней средняя просрочка;до 7 дней число просрочек;Образование;Специальность;Табельный номер руководителя;Обучений количество;Будни FromUser Число звонков;Будни FromUser Время звонков;Будни ToUser Число звонков;Будни ToUser Время звонков;Выходные дни FromUser Число звонков;Выходные дни FromUser Время звонков;Выходные дни ToUser  Число звонков;Выходные дни ToUser Время звонков ;Будни Нет опоздания;Будни Нет опоздания Время опозданий;Будни Опоздание;Будни Опоздание Время опозданий;Выходные дни Нет опоздания;Выходные дни Нет опоздания Время опозданий;Выходные дни Опоздание;Выходные дни Опоздание Время опозданий;Будни Дни Всего;Будни Среднее время;Выходные дни Всего;Выходные дни Среднее время;Будни Компьютер всего;Будни Компьютер среднее;Выходные Компьютер всего;Выходные Компьютер среднее;Будни Монитор количество;Будни Монитор активность;Будни Монитор общее;Выходные Монитор количество;Выходные Монитор активность;Выходные Монитор общее
ОРГ1-01883;ОРГ1;2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0;0;5;17.8532225;0;0;0;0;null;null;null;null;5;960.6;0;0;13;220;220.153846153846;0;0;0
ОРГ1-01301;ОРГ1;1;11;59;4;12.6;5;2.66666666666667;3;Среднее профессиональное образование, Высшее образование, не указано;Экономика и планирование в отраслях народного хозяйства, Менеджмент, Сметное дело и ценообразование;не указано;3;917;14.2191666666667;743;14.2616666666667;0;0;0;0;128;2.65976972222222;96;226.104737222222;0;0;0;0;30;8.21888888888889;0;0;223;14050.3811659193;0;0;1485;1778.66936026936;7126.2404040404;43;0;81752.511627907
ОРГ1-00442;ОРГ1;1;118;71.8181818181818;33;15.6;15;3.35897435897436;39;Высшее образование, не указано;Химическая технология природных энергоносителей и углеродных материалов, Переводчик в сфере профессиональной коммуникации;ОРГ1-01310;2;1345;24.0169444444444;883;20.2777777777778;0;0;0;0;102;2.93496555555555;33;129.7986625;0;0;11;71.292415;32;8.90677083333333;0;0;134;15777.3805970149;11;3465.63636363636;1566;1268.21136653895;5962.05044699872;99;322.909090909091;36090.4343434343
ОРГ1-01731;ОРГ1;1;253;241.207547169811;106;13.7857142857143;28;3.83720930232558;43;null;null;null;null;2220;35.6730555555555;2126;30.9677777777778;3;0.0141666666666667;3;0.0125;111;0.117691666666667;25;89.4375038888889;0;0;0;0;31;8.30645161290322;0;0;135;20742.6592592593;0;0;1495;1420.53846153846;2008.06555183946;0;0;0
ОРГ1-01680;ОРГ1;2;14;388;1;22.6666666666667;3;5.25;4;Высшее образование;Бухгалтерский учет и аудит;не указано;1;null;null;null;null;null;null;null;null;68;1.48955194444444;62;156.123373611111;17;0.673491666666667;19;87.2149419444444;null;null;null;null;129;22579.4418604651;35;18761.2857142857;1084;2456.16789667897;6338.81549815498;248;2501.04435483871;10779.7258064516
ОРГ1-01068;ОРГ1;2;null;null;null;null;null;null;null;null;null;null;null;27;0.573333333333333;0;0;2;0.0305555555555556;0;0;null;null;null;null;null;null;null;null;null;null;null;null;48;13743.5;8;10733.75;360;1673.06111111111;14178.975;68;1211.61764705882;28795.5882352941
ОРГ1-01628;ОРГ1;0;183;344;11;16.3333333333333;12;3.26315789473684;19;Высшее образование;Машины и аппараты химических производств;не указано;1;317;5.48305555555555;333;7.62250000000001;0;0;0;0;223;2.7775175;73;126.112761666667;0;0;0;0;null;null;null;null;294;19864.4489795918;0;0;2083;2139.86365818531;2722.27412385982;1;0;27690
ОРГ2-02286;ОРГ2;2;null;null;null;null;null;null;null;Высшее образование;Проектирование, сооружение и эксплуатация газонефтепроводов и газохранилищ;не указано;1;null;null;null;null;null;null;null;null;226;0.528875277777778;61;200.212765555556;40;0.148736111111111;8;26.6033361111111;null;null;null;null;283;8529.75265017668;48;9215;1764;1061.23412698413;1961.3537414966;303;1113.3300330033;1950.3300330033
ОРГ1-02717;ОРГ1;2;6;0;0;0;0;0;0;Высшее образование - бакалавриат, Высшее образование - специалитет, магистратура;Биология, Экология и природопользование;не указано;2;null;null;null;null;null;null;null;null;84;1.20882861111111;42;24.1444488888889;0;0;4;29.4493158333333;22;8.49393939393939;0;0;125;19906.016;4;7052.5;1244;1891.08922829582;7705.26848874598;60;433.4;55445.9666666667
ОРГ1-01655;ОРГ1;3;17;0;0;0;0;0;0;Высшее образование, Высшее образование;Машины и аппараты химических производств и предприятий строительных материалов, Безопасность технологических процессов и производств;ОРГ1-01649;2;244;7.19388888888889;215;7.92722222222222;7;0.308055555555556;12;0.0172222222222222;82;1.58709277777778;56;93.9736666666666;19;0;11;53.1374411111111;null;null;null;null;137;13167.8248175182;30;8622.66666666667;1174;1295.40545144804;2390.35008517888;184;1197.75543478261;2355.33152173913
ОРГ1-02086;ОРГ1;2;51;0;0;14.7142857142857;7;0;0;Высшее образование;Планирование народного хозяйства;ОРГ1-02146;1;471;5.12861111111111;1030;12.4977777777778;15;0.310555555555556;25;0.288333333333333;90;5.38432083333333;38;24.921215;4;0.393546944444444;8;20.3709380555556;null;null;null;null;127;19675.9842519685;12;8677.58333333333;1391;1225.31631919482;1938.28468727534;83;840.33734939759;1227.46987951807
ОРГ1-01647;ОРГ1;2;57;0;0;11;1;2;5;Высшее образование, Высшее образование;Электрооборудование и электрохозяйство предприятий, организаций и учреждений, Электроэнергктика и электротехника;не указано;2;788;28.8791666666667;767;33.4808333333333;71;1.10027777777778;61;1.8525;117;0.779286944444444;21;12.1888944444444;35;0.536244166666667;2;8.16462888888889;null;null;null;null;138;16281.9927536232;37;15356.5945945946;1571;1226.02609802673;3486.06938255888;424;1186.55896226415;4564.7429245283
ОРГ2-00533;ОРГ2;2;3;0;0;0;0;0;0;Высшее образование - бакалавриат;Технология транспортных процессов;не указано;1;null;null;null;null;null;null;null;null;139;0.619736388888889;56;258.836390277778;9;0.204611111111111;10;29.3557547222222;null;null;null;null;null;null;null;null;null;null;null;null;null;null
ОРГ2-05202;ОРГ2;1;8;101.318181818182;22;17;3;4.66666666666667;3;Начальное профессиональное образование;Электроэнергетические системы и сети;ОРГ2-09100;1;null;null;null;null;null;null;null;null;18;0.0927563888888889;10;57.3665536111111;1;0;3;19.0551138888889;null;null;null;null;28;1822.78571428571;4;1425.75;119;315.949579831933;1446.66386554622;16;296.625;2060.25
ОРГ1-01981;ОРГ1;2;null;null;null;null;null;null;null;null;null;null;null;116;4.61333333333333;24;0.699166666666667;0;0;0;0;49;1.66809444444444;66;94.2488169444444;13;0.0534758333333333;5;16.4769916666667;null;null;null;null;115;15082.8695652174;18;8905.33333333333;1132;1277.52296819788;2258.26060070671;146;892.993150684931;1454.65068493151
ОРГ2-04461;ОРГ2;1;10;276;1;11;1;0;0;Высшее образование;Строительство;ОРГ2-09100;1;null;null;null;null;null;null;null;null;137;0.168042777777778;34;110.958201666667;5;0;2;4.89783333333333;null;null;null;null;170;17163.8058823529;7;15606.1428571429;1688;1406.82345971564;2360.20023696682;61;1553.04918032787;2973
ОРГ1-02825;ОРГ1;2;3;64.75;8;16.25;4;1;1;Высшее образование - бакалавриат;Строительство;ОРГ1-02146;1;966;28.19;795;40.2416666666667;41;1.22472222222222;24;0.893611111111111;110;2.28643472222222;14;23.8002369444444;10;0.202892777777778;5;11.4401519444444;null;null;null;null;123;14670.4715447154;15;12648.9333333333;981;1523.60346585117;2803.39653414883;100;1574.57;2607.73
ОРГ2-05858;ОРГ2;2;null;null;null;null;null;null;null;Высшее образование;Государственное и муниципальное управление;не указано;1;null;null;null;null;null;null;null;null;65;5.0470025;71;88.3469588888889;0;0;2;5.92241027777778;null;null;null;null;null;null;null;null;null;null;null;null;null;null
ОРГ1-02835;ОРГ1;3;193;75.5;2;0;0;2.375;8;Высшее образование;Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ;не указано;1;1790;38.9019444444444;1293;36.7208333333333;0;0;1;0.00111111111111111;102;0;2;3.71393055555556;3;0.286673055555556;5;2.56604055555556;null;null;null;null;103;33381.6601941748;8;9416.5;1102;2781.37023593466;3266.81488203267;59;1124.96610169492;1311.10169491525
ОРГ1-02563;ОРГ1;0;null;null;null;null;null;null;null;Высшее образование - специалитет, магистратура, Высшее образование - специалитет, магистратура, Повышение квалификации, Повышение квалификации;Оборудование и технология сварочного производства, Менеджмент организации, Проектирование зданий и сооружений.Работы по подготовке генерального плана земельного участка, Безопасность строительства и качество выполнения общестроительных работ. Строительный контроль. Орга;не указано;4;null;null;null;null;null;null;null;null;105;0.439816111111111;14;12.1370016666667;38;0.172061111111111;2;1.72462972222222;null;null;null;null;118;7932.69491525424;40;7260.5;957;756.666666666667;4254.19853709509;328;687.048780487805;5585.44512195122
ОРГ1-01332;ОРГ1;1;185;271;1;20.5;2;7;1;Высшее образование;Технология машиностроения, металлорежущие станки и инструменты;не указано;1;1298;15.8863888888889;585;12.2102777777778;118;1.07111111111111;44;0.582222222222222;120;0.292926111111111;0;0;22;0.100576944444444;3;9.88084833333333;null;null;null;null;119;14646.487394958;25;9014.84;1158;650.472366148532;767.819516407599;217;565.820276497696;636.267281105991
ОРГ1-02803;ОРГ1;2;0;252;1;9;1;0;0;Высшее образование - бакалавриат;Строительство;не указано;1;null;null;null;null;null;null;null;null;97;5.35989861111111;40;42.4153980555556;1;0;2;24.7477925;null;null;null;null;137;14834.1094890511;3;5703.66666666667;1237;1460.00808407437;3254.83427647534;17;777.352941176471;2059.58823529412
ОРГ1-02046;ОРГ1;0;23;0;0;0;0;2;1;Высшее образование;Автоматизация технологических процессов и производств (по отраслям);ОРГ1-02759;1;1390;28.9991666666667;476;25.8855555555555;1;0.0458333333333333;2;0.00111111111111111;101;1.74332861111111;51;194.094033611111;11;0.341268055555556;15;43.7661772222222;32;8.0890625;0;0;151;14693.2582781457;26;6407.30769230769;1494;1203.71285140562;1903.90562248996;203;630.364532019704;1518.85714285714
ОРГ2-01592;ОРГ2;2;null;null;null;null;null;null;null;Высшее образование;не указано;ОРГ2-09100;1;null;null;null;null;null;null;null;null;0;0;1;1.27953694444444;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null
ОРГ1-02749;ОРГ1;1;39;47.5;2;13.5;2;0;0;null;null;null;null;47;5.00722222222222;0;0;0;0;0;0;120;1.27448083333333;46;192.614606666667;0;0;5;65.6203694444444;null;null;null;null;164;19142.5243902439;5;300;1871;1335.19615179049;1649.07536076964;11;23.8181818181818;30.4545454545455
ОРГ1-00581;ОРГ1;2;88;93.3333333333333;3;12.5384615384615;13;3.72727272727273;22;Высшее образование;Математические методы в экономике;ОРГ1-00581;1;1745;69.3347222222222;1411;75.9919444444445;0;0;2;0.160555555555556;114;5.58952444444444;32;212.878794166667;2;0;10;56.9745130555556;21;8.15952380952381;0;0;145;20901.6896551724;12;6253.08333333333;1584;1638.0220959596;2015.43686868687;93;717.677419354839;1051.18279569892
ОРГ1-02896;ОРГ1;3;null;null;null;null;null;null;null;null;null;null;null;9;5.63388888888889;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;83;29448.7710843374;0;0;874;2310.147597254;2524.62471395881;0;0;0
ОРГ1-01348;ОРГ1;1;782;0;0;11.375;8;2.19047619047619;21;Начальное профессиональное образование, Высшее образование;Аппаратчик-оператор широкого профиля нефтехимического производства, Химическая технология природных энергоносителей и углеродных материалов;ОРГ1-01348;2;648;18.5480555555556;1003;53.1113888888889;0;0;0;0;184;0.196593333333333;141;372.376860555556;0;0;1;9.54091027777778;30;7.09055555555555;0;0;323;16121.5882352941;1;300;2047;2373.77870053737;3582.04347826087;7;10.1428571428571;61342.8571428571
ОРГ1-00924;ОРГ1;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;31;8.31397849462365;0;0;44;18824.5;0;0;439;1802.0569476082;7615.74715261959;15;0;86059.9333333333
ОРГ1-00920;ОРГ1;2;7;375.457627118644;59;0;0;0;0;Высшее образование, Повышение квалификации;Финансы и кредит, не указано;не указано;2;2;0.354444444444444;11;0.465833333333333;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
ОРГ1-01907;ОРГ1;2;1364;420.950819672131;61;15;1;2;3;Высшее образование;Автоматизация технологических процессов и производств (по отраслям);ОРГ1-01907;1;3004;68.6555555555556;3615;135.685277777779;19;0.8875;34;0.585277777777778;102;0.164694444444444;45;132.8442325;0;0;3;15.7270872222222;32;9.58854166666666;0;0;146;23397.4452054795;3;10301.3333333333;1694;1083.23789846517;1220.04722550177;24;718.333333333333;777.458333333333
ОРГ1-02989;ОРГ1;2;52;42;1;10.4;5;4.4;10;null;null;null;null;5;0.185;0;0;0;0;0;0;null;null;null;null;null;null;null;null;null;null;null;null;53;21809.2075471698;4;2325.5;506;1982.47233201581;2899.82411067194;20;418.65;1116.25
ОРГ1-02824;ОРГ1;2;62;0;0;0;0;1.5;2;Высшее образование;Финансы и кредит;не указано;1;433;5.63916666666667;377;12.16;0;0;0;0;185;0.722503611111111;54;130.162942777778;0;0;24;190.876993055556;null;null;null;null;239;20548.589958159;24;5854;1838;1818.859085963;2057.43471164309;114;923.324561403509;1242.82456140351
ОРГ1-01882;ОРГ1;0;10980;194.25;4;14.1;10;2.11111111111111;90;Высшее образование;Автоматизация технологических процессов и производств;ОРГ1-00772;1;4505;146.2625;6209;229.572777777778;18;2.26527777777778;42;1.38444444444444;75;2.71660972222222;105;368.693010277778;5;0;28;204.075375555555;30;11.1011111111111;2;4.36666666666667;178;26416.904494382;33;4192.72727272727;1931;2241.82806835836;2728.94717762817;161;768.863354037267;1201.96894409938
ОРГ1-00645;ОРГ1;0;4467;477.289956803456;1852;15.3333333333333;15;2.75;28;Высшее образование;Юриспруденция;не указано;1;4755;85.4469444444444;4042;65.7555555555556;15;0.725;15;0.178333333333333;65;0.314606944444444;36;67.3146172222222;0;0;2;13.3751972222222;11;6.11060606060606;4;3.55416666666667;100;21067.87;2;2552;954;1976.96645702306;4200.42767295598;24;208.791666666667;18262.5833333333
ОРГ1-02817;ОРГ1;2;9;228.6;5;0;0;0;0;Высшее образование;Промышленное и гражданское строительство;не указано;1;null;null;null;null;null;null;null;null;32;0.871252777777778;108;340.342043333333;0;0;1;1.3625675;null;null;null;null;139;8709.81294964029;1;300;1000;994.609;2182.461;1;29;29
ОРГ1-01022;ОРГ1;2;7;0;0;0;0;1.33333333333333;3;Начальное профессиональное образование, Высшее образование - бакалавриат;Парикмахер, не указано;не указано;2;1388;20.4072222222222;1721;45.2402777777778;174;2.61388888888889;134;2.17833333333333;125;1.8225425;94;157.238421944444;35;0.391523333333333;11;15.4538536111111;null;null;null;null;217;16453.9032258065;46;14422.2391304348;1391;1703.7641984184;6309.62113587347;320;1377.24375;11877.509375
ОРГ1-01850;ОРГ1;2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;117;7137.51282051282;23;3653.69565217391;915;902.169398907104;6865.90601092896;140;638.921428571429;21128.9571428571
ОРГ2-01421;ОРГ2;1;9;126;9;13.0526315789474;19;4.42857142857143;7;Высшее образование - специалитет, магистратура;Технологические машины и оборудование;ОРГ2-09100;1;null;null;null;null;null;null;null;null;55;0.336938888888889;38;56.6318163888889;3;0.270031666666667;7;13.5977655555556;null;null;null;null;91;6637.51648351648;10;4953.2;625;694.5472;1030.4288;58;644.741379310345;895.293103448276
ОРГ1-00826;ОРГ1;2;28;74.7142857142857;7;21.75;8;3.66666666666667;3;Высшее образование;Машины и аппараты химических производств;ОРГ1-00531;1;246;18.8894444444444;1034;26.5619444444444;1;0.0225;2;0.0277777777777778;124;0.646744166666667;9;18.9483605555556;0;0;3;29.4000963888889;32;8.59166666666666;0;0;133;27515.7593984962;3;5600.33333333333;1749;1837.95254431103;5790.34305317324;61;219.868852459016;53061.4262295082
ОРГ1-00839;ОРГ1;2;562;95.5228758169935;153;22.3;20;3.28571428571429;14;Высшее образование, Повышение квалификации, Повышение квалификации, Высшее образование, Повышение квалификации, Повышение квалификации;Финансы и кредит, Безопасность строительства и осуществление строительного контроля, Ключевые правила безопасности, Промышленное и гражданское строительство, Обеспечение экологической безопасности руководителями и специалистами экологических служб, не указано;ОРГ1-02742;6;2845;490.261111111111;1128;46.6747222222222;149;87.4002777777777;3;0.32;104;0.854359722222222;97;316.418493611111;1;0;44;208.101383888889;24;8.58333333333333;0;0;201;10733.223880597;45;4148.86666666667;1887;956.18018018018;1685.79809220986;286;534.660839160839;1579.47202797203
ОРГ1-01116;ОРГ1;2;3;91.6666666666667;3;0;0;5;1;Высшее образование, Повышение квалификации;Промышленное и гражданское строительство, не указано;не указано;2;null;null;null;null;null;null;null;null;63;1.32684611111111;54;41.6673527777778;14;0.150841666666667;7;2.11709694444444;null;null;null;null;116;12874.5172413793;21;8446.80952380952;991;1330.6770938446;8841.85469223007;160;1039.2875;16675.18125
ОРГ1-02080;ОРГ1;2;295;0;0;14.2857142857143;7;2.45714285714286;35;Высшее образование, Высшее образование - бакалавриат;Юриспруденция, Менеджмент;ОРГ1-02116;2;1209;25.5788888888889;1176;25.433611111111;0;0;1;0.000277777777777778;126;0.699343333333333;9;3.90630611111111;0;0;6;45.6356555555555;20;8.20416666666667;0;0;134;18465.4029850746;6;1350.66666666667;1679;1201.72840976772;2358.74151280524;63;111.428571428571;9651.52380952381
ОРГ1-02975;ОРГ1;1;25;0;0;0;0;2;2;Высшее образование, Переподготовка;Социальная работа, Техносферная безопасность;не указано;2;362;8.32972222222222;172;5.37416666666667;0;0;0;0;23;0.208351111111111;50;125.852780277778;1;0;3;5.91096861111111;null;null;null;null;1;3900;0;0;8;146.75;231.75;0;0;0
ОРГ1-02725;ОРГ1;0;14;0;0;19;2;4.6;5;Высшее образование;Химическая технология природных энергоносителей и углеродных материалов;ОРГ1-00626;1;1;0.00472222222222222;0;0;0;0;0;0;55;0;73;213.693003333333;7;0;29;185.964766666667;1;5.28333333333333;0;0;127;10840.5196850394;36;9131.22222222222;1141;952.562664329535;1230.12182296231;312;857.291666666667;1165.71474358974
ОРГ1-02573;ОРГ1;2;2;151;1;0;0;3;1;Высшее образование - специалитет, магистратура;Подъемно-транспортные, строительные, дорожные машины и оборудование;не указано;1;null;null;null;null;null;null;null;null;110;2.47996722222222;19;29.0925936111111;0;0;0;0;null;null;null;null;129;24893.3953488372;0;0;1645;1644.43829787234;1932.14103343465;0;0;0
ОРГ1-01349;ОРГ1;0;53;187.175502008032;2490;18.9114583333333;192;2;9;Высшее образование, Повышение квалификации;Менеджмент, Управление персоналом;ОРГ1-00596;2;1711;49.0008333333334;1624;63.1658333333334;1;0.00416666666666667;0;0;80;1.32820388888889;48;63.9297266666666;0;0;7;34.4658633333333;31;9.48602150537634;4;8.2375;127;22778.1653543307;7;5744;1274;1903.03453689168;3396.24018838305;34;1195.5;13382.5882352941
ОРГ2-02069;ОРГ2;0;null;null;null;null;null;null;null;Среднее профессиональное образование;Строительство уникальных зданий и сооружений;не указано;1;null;null;null;null;null;null;null;null;36;0.0139352777777778;47;209.169222222222;7;0;4;5.69788861111111;null;null;null;null;null;null;null;null;null;null;null;null;null;null
ОРГ1-01939;ОРГ1;2;6;201;1;14;1;0;0;null;null;null;null;1813;96.4011111111112;1277;67.4247222222221;0;0;0;0;78;0.419216111111111;3;14.0982702777778;0;0;2;27.2302408333333;25;8.24466666666666;0;0;81;23195.6666666667;2;2101.5;1103;1319.05349048051;1879.49410698096;8;428.625;11214.625
ОРГ1-01385;ОРГ1;2;39;283;1;0;0;3.5;4;Высшее образование;Двигатели внутреннего сгорания;ОРГ1-00915;1;3;0.835833333333333;4;1.08833333333333;0;0;0;0;124;0.167014722222222;1;0.889071388888889;0;0;3;36.2188622222222;null;null;null;null;124;27783.7016129032;3;3003;1571;1929.2533418205;2474.46849140675;21;360.095238095238;366.333333333333
ОРГ1-02222;ОРГ1;2;null;null;null;null;null;null;null;Высшее образование, Повышение квалификации, Повышение квалификации;Сельскохозяйственное строительство, не указано, не указано;не указано;3;null;null;null;null;null;null;null;null;110;2.87306027777778;13;12.7519;36;0.132061111111111;2;3.65646666666667;null;null;null;null;122;15774.3278688525;38;15283;869;1808.71921749137;4043.1749136939;248;1934.60483870968;4271.10080645161
ОРГ1-00980;ОРГ1;1;2;0;0;16.3333333333333;3;3.33333333333333;3;Высшее образование - бакалавриат;Химическая технология и биотехнология;не указано;1;null;null;null;null;null;null;null;null;88;3.05230833333333;174;453.253081111111;1;0;1;1.08399166666667;null;null;null;null;262;9499.56870229008;2;8704;1231;1756.29813160032;10086.0446791227;32;517.15625;62928.25
ОРГ1-00576;ОРГ1;0;2;0;0;0;0;0;0;Среднее профессиональное образование, Высшее образование;Вычислительные машины, комплексы, системы и сети, Программное обеспечение вычислительной техники и автоматизированных систем;не указано;2;493;12.3238888888889;344;9.93805555555556;0;0;0;0;112;0.116971111111111;3;5.05319361111111;0;0;1;14.4700536111111;25;8.538;0;0;114;25081.0701754386;1;300;1541;1767.25762491888;6015.18234912395;44;0.0454545454545455;84155.6363636364
ОРГ1-01956;ОРГ1;0;0;0;0;0;0;4;1;Высшее образование - бакалавриат, Высшее образование - специалитет, магистратура;Строительство, Строительство;не указано;2;153;3.05861111111111;196;4.14277777777778;0;0;0;0;34;3.38951055555556;88;46.0546130555556;0;0;2;14.7676480555556;null;null;null;null;121;24042.1652892562;2;300;1519;1349.75971033575;2173.6254114549;6;17.5;18.5
ОРГ2-06364;ОРГ2;1;null;null;null;null;null;null;null;Среднее профессиональное образование;Эксплуатация и ремонт подъемно-транспортных, строительных, дорожных машин и оборудования;ОРГ2-09100;1;null;null;null;null;null;null;null;null;120;0;7;13.3106277777778;19;0;1;1.57775916666667;null;null;null;null;null;null;null;null;null;null;null;null;null;null
